error	target	error_word	target_word
3	ð	hú3	húð	
5	þ	5ess	þess	
6	ó	6friður	ófriður	
9	g	vanale9t	vanalegt	
				
]	l	]ýsa	lýsa	
/	j	f/óra	fjóra	
/	f	/rumvarp	frumvarp	
&	ð	me&	með	
				
|>	Þ	|>jer	Þjer	
£	Þ	£á	Þá	
3?	Þ	3?etta	Þetta	
3>	Þ	3>etta	Þetta	
a	e	sam	sem	
a	u	aaka	auka	
a	n	maani	manni	
ae	æ	aerið	ærið	
ae	æ	þaer	þær	
aé	æ	naégilegt	nægilegt	
aö	æ	aötti	ætti	
á	a	flöskuná	flöskuna	
á	ú	trá	trú	
b	h	blut	hlut	
b	ð	fræba	fræða	
B	E	Bn	En	
b	ó	persbnuleg	persónuleg	
b	ð			
b	ð	saubfje	sauðfje	
B	ð	verBa	verða	
B	ö	sBgur	sögur	
b	ö	gjbld	gjöld	
b	ð	klofnubu	klofnuðu	
b	h	bans	hans	
B	ð	fullnaBarpróf	fullnaðarpróf	
Bi	m	fulltrúuBi	fulltrúum	
c	e	gcfa	gefa	
c	e	kaupcndum	kaupendum	
c	e	cn	en	
c	e	scnd	send	
c	e	málcfni	málefni	
ce	æ	lceknis	læknis	
ce	æ	cettu	ættu	
ci	d	breicid	breidd	
cl	d	bænclur	bændur	
cl	d	breidcl	breidd	
cl	d	sencl	send	
d	ó	þjdð	þjóð	
d	ð	tídindi	tíðindi	
d	á	ndttúru-	náttúru-	
d	ð	þad	það	
d	á			
ð	ö	sðlu	sölu	
ð	ó	ljðsi	ljósi	
ð	d	rönð	rönd	
ð	ö	blðð	blöð	
ð	ó	nðg	nóg	
e	g	áeóða	ágóða	
E	R	Eitstjóri	Ritstjóri	
é	e	éigi	eigi	
f	þ	fað	það	
f	í	annrfkis	annríkis	
f	t	sveifamenn	sveitamenn	
f	t	sfeinn	steinn	
f	í	lftið	lítið	
f	i	Englendfngur	Englendingur	
f	Í	fslendingar	Íslendingar	
f	í	þvf	því	
f	j	fafnframt	jafnframt	
F*	Þ	F*eir	Þeir	
f>	þ	f>eir	þeir	
fa	h	favílík	hvílík	
fc	t	hættulegfc	hættulegt	
fc	t	fcelja	telja	
fe	b	felöðum	blöðum	
fi	ú	fulltrfia	fulltrúa	
fl	h	flafir	hafir	
ft	ð	samhljófta	samhljóða	
ft	ú	kftgun	kúgun	
g	s	gtyrktir	styrktir	
h	k	samþyhkt	samþykkt	
H	li	Hggur	liggur	
h	b	umhoðsmanni	umboðsmanni	
h	n	hanh	hann	
h	li	sjúkhngnum	sjúklingnum	
h	b	hetur	betur	
h	li	háskóh	háskóli	
h	li	alhr	allir	
h	k	shipaður	skipaður	
h	n	uhgur	ungur	
h	li	hggur	liggur	
H	li	Htið	litið	
H	ll	skáhöH	skáhöll	
h	b	hreytti	breytti	
hm	inn	hluturhm	hluturinn	
i	l	iítið	lítið	
i	l	aimennings	almennings	
i	í	sild	síld	
I	l	Ijós	ljós	
i	r	ritgeiðir	ritgerðir	
i	l	frjálsiyndi	frjálslyndi	
i	r	forspuit	forspurt	
i	í	i	í	
i	í			
i	f	hait	haft	
i	f	iyrir	fyrir	
i	l	dæmaiaus	dæmalaus	
I	l	Ijósi	ljósi	
i	t	beziu	beztu	
i	f	haii	hafi	
i	l	tii	til	
i	j	harðstiórn	harðstjórn	
i	r	fæddui	fæddur	
i	l	ietur	letur	
i	t	irygð	trygð	
i	r	fiéttir	fréttir	
i	j	sniallræði	snjallræði	
i	r	ofanverðii	ofanverðri	
i'	f	i'rá	frá	
i'	r	fi'á	frá	ATH. eyða ' í orðum
i'	r	þeii'	þeir	
ii	n	Amtmaðurinii	Amtmaðurinn	
ii	ö	mjiig	mjög	
ii	h	iieitir	heitir	
ii	u	iim	um	
ii	ú	briin	brún	
il	n	þinilar	þinnar	
im	nn	fiimst	finnst	
im	nn	saimar	sannar	
in	m	koina	koma	
in	m	inínum	mínum	
in	m			
iu	m			
iu	m	iuenn	menn	
í	f	íyrnast	fyrnast	
í	t	heiía	heita	
í	l	fíata	flata	
í	r	íétt	rétt	
í	i			
í	i	þóttí	þótti	
í	ð	miíaptni	miðaptni	
í	f	haíi	hafi	
í	f	íyrst	fyrst	
í	r	íithöfundurinn	rithöfundurinn	
í	t	seít	sett	
í	j	íafnvel	jafnvel	
í	t	írygging	trygging	
í'	f	höí'undur	höfundur	
í>	Þ	í>ess	Þess	
í>	Þ			
íc	k	sículda	skulda	
íi	ú	íir	úr	
íi	ú	ríimum	rúmum	
íí	á	lííta	láta	
j	í	þvj	því	
j	ý	sjnum	sýnum	
J	l	Jjós	ljósi	
J	Þ	Jað	Það	
J	l	Jíka	líka	
j	i	kostj	kosti	
j	r	þessaji	þessari	
j	i	fyrirhejtin	fyrirheitin	
j	f	jrumvarpið	frumvarpið	
J>	Þ	J>ing	Þing	yfirleitt þ ef > stendur við annan staf
j>	þ	j>ar	þar	
Jh	Þ			
Ji	Þ			
Ji	Þ	Jiegar	Þegar	
Ji	Þ	Jiegar	Þegar	
Jj	Þ	Jjjóð-	Þjóð-	
jn	m	ritujn	ritum	
Jp	Þ	Jpað	Það	
Jp	Þ	Jpegar	Þegar	
JP	Þ	JPegar	Þegar	
jr	ý	ódjrrari	ódýrari	
k	h	Keflavíh	Keflavík	
l	i	heflr	hefir	
l	f	lormælendur	formælendur	
l	t	þelta	þetta	
l	í	vlnkaup	vínkaup	
l	i	sjálflr	sjálfir	
l	t	gelur	getur	
l	f	halði	hafði	
l	i	landsréttlnda	landsréttinda	
l	t	slóra	stóra	
l	t	lélt	létt	
l'	f	hal'a	hafa	
l'	f	ol'þyngja	ofþyngja	
l'	f	l'yrir	fyrir	
lb	fo	lbrðabúr	forðabúr	
lc	k	lælcnirinn	læknirinn	
lc	k	landrælcir	landrækir	
li	h	liafi	hafi	
li	k	fyllis	fylkis	
li	h	liann	hann	
li	h	livers	hvers	
li	u	lim	um	
ll	H	llafi	Hafi	
ll	H	llrafni	Hrafni	
lr	k	eklri	ekki	
m	in	orðmn	orðinn	
m	rn	ritstjóm	ritstjórn	
m	in	ems	eins	
m	ur	Sigm-	Sigur-	
m	ru	fmmvarp	frumvarp	
m	rn	hersveitimar	hersveitirnar	
m	in	ráðgjafmn	ráðgjafinn	
m	ur	betm	betur	
mn	um			
n	a	sknð-	skað-	
n	a	knppsmáli	kappsmáli	
n	u	mikln	miklu	
n	h	neyrnar	heyrnar	
n	u	rútnr	rútur	
ni	m	þeini	þeim	
ni	m	heininum	heiminum	
ni	m	sanikoniulag	samkomulag	
ní	m	höfuní	höfum	
nn	m	finnm	fimm	
nr	m	konrizt	komist	
nr	m	nenra	nema	
o	e	sjo	sje	
o	ð	eptirleiois	eptirleiðis	
o	n	fuodinum	fundinum	
o	ð	áour	áður	
o	e	íslonzkar	íslenzkar	
o	ö	bjorgun	björgun	
o	e	þoir	þeir	
o	e	voiti	veiti	
o'	ó	þjo'ðverja	þjóðverja	
ó	ö	lógfræðings	lögfræðings	
ó	é	fólaga	félaga	
ó	ð	falió	falið	
ó	é	sór	sér	
ó	é	sór	sér	
ó	é	róttar	réttar	
p	þ	alpingi	alþingi	
P	F	Próða	Fróða	
p	þ			
p	þ			
P	Þ	Pað	Það	
P	F	Pjölgar	Fjölgar	
p	g	pjaldkeri	gjaldkeri	
p	o	pg	og	
r	v	rar	var	
r	f	storu	stofu	
r	t	þrárt	þrátt	
ra	m			
ra	m	getura	getum	
ra	m	neraa	nema	
rh	m	surhir	sumir	
ri	n	prerit	prent	
ri	n	riú	nú	
rl	d	nefnrlu	nefndu	
rn	m	heirnila	heimila	
rn	m	nerna	nema	
rn	m	rnikla	mikla	
ro	m	kerour	kemur	
ro	m	sero	sem	
ro	m	sneroma	snemma	
ro	m	lögunuro	lögunum	
ro	m	heirour	heimur	
rr	n	stofurrni	stofunni	
rr	m	málurr	málum	
rrt	m	rrteiri	meiri	
rrt	m	hljórrtleikana	hljómleikana	
ru	m			
S	ð	nýbyrjaS	nýbyrjað	
S	ð	leiS	leið	
s	e	þsssi	þessi	
S	ð			
S	ð	ljósiS	ljósið	
S	ð	viS	við	
S	ð	öSru	öðru	
ss	æ	fssðingunni	fæðingunni	
t	r	fyrit	fyrir	
t	l	fteiri	fleiri	
t	í	stðastliðið	síðastliðið	
t	f	terða-	ferða-	
t	r	etu	eru	
t	i	innsigltð	innsiglið	
t	f	triði	friði	
t	r	batna	barna	
tf	ö	gtfmlu	gömlu	
th	m	frath	fram	
ti	ú	kntiið	knúið	
ti	u	öðrtim	öðrum 	
ti	n	vatisælu	vansælu	
tí	ú	Gntípverjum	Gnúpverjum	
tí	ú	tilbtíið	tilbúið	
tn	m	þeitn	þeim	
tn	m	tneð	með	
tt	u	ttm	um	
tt	u	ttpp	upp	
tu	m	tíðutu	tíðum	
u	n	manua	manna	
u	n	gefiun	gefinn	
u	n	eugin	engin	
u	a	lufhræddir	lafhræddir	
u	a	hufi	hafi	
u	a	niðurlug	niðurlag	
u	v	anduíg	andvíg	
u	n	Daua	Dana	
U	ll	AUs	Alls	
ui	m			
ui	m	sauitalinu	samtalinu	
ú	á	múlum	málum	
ú	ö	nú	nö	
v	r	geymiv	geymir	
v	r	stundiv	stundir	
v	r	ritgevðavkaflann	ritgerðarkaflann	
vv	u	vvpp	upp	
X	li	skóX	skóli	
y	v	þyí	því	
Y	V	Yér	Vér	
y	j	yjer	vjer	
ý	f	ýyrsta	fyrsta	
ý	f	þriýnað	þrifnað	
ö	ð	nokkuö	nokkuð	
ö	ð	aö	að	
ö	é	þör	þér	
ö	ó	mötmæli	mótmæli	
ö	ð	aö	að	
ö	ð	hvaöanæfa	hvaðanæfa	
ö	ð	hiö	hið	
ö	ð	meöal	meðal	
ö	ð	brúöur	brúður	
